Planet	Cryo	Dest	Age	VIP_Recoded	Total_Purchase	Deck	Side	Surname	Transported
1	0	1	13	0	0	1	1	3	1
1	0	1	13	0	0	1	1	3	1
1	0	1	14	0	0	1	1	9	1
1	0	1	18	0	0	1	1	9	1
1	0	1	25	0	0	1	1	3	1
1	0	1	25	0	0	1	1	3	1
1	0	1	29	0	0	1	1	3	1
1	0	1	32	0	0	1	1	11	1
1	0	1	39	0	0	1	1	6	1
1	0	1	45	0	0	1	1	6	1
1	0	1	51	0	0	1	1	6	1
1	0	1	57	0	0	1	1	3	1
1	0	1	28.82793047	0	0	1	1	3	1
1	0	1	28.82793047	0	0	1	1	7	1
1	0	1	0	0	0	1	1	9	0
1	0	1	2	0	0	1	1	9	0
1	0	1	14	0	0	1	1	4	0
1	0	1	23	0	0	1	1	4	0
1	0	1	24	0	0	1	1	4	0
1	0	1	26	0	0	1	1	8	0
1	0	1	27	0	0	1	1	6	0
1	0	1	28	0	0	1	1	5	0
1	0	1	31	0	0	1	1	11	0
1	0	1	32	0	0	1	1	11	1
1	0	1	34	0	0	1	1	6	1
1	0	1	38	0	0	1	1	6	1
1	0	1	40	0	0	1	1	4	1
1	0	1	40	0	0	1	1	4	1
1	0	1	47	0	0	1	1	10	1
1	0	1	48	0	0	1	1	10	1
1	0	2	19	0	0	1	1	9	1
1	0	2	25	0	0	1	1	9	1
1	0	2	31	0	0	1	1	3	1
1	0	2	34	0	0	1	1	11	1
1	0	2	35	0	0	1	1	11	1
1	0	2	36	0	0	1	1	7	1
1	0	2	38	0	0	1	1	7	1
1	0	2	39	0	0	1	1	6	1
1	0	2	42	0	0	1	1	3	1
1	0	2	57	0	0	1	1	3	1
1	0	2	28.82793047	0	0	1	1	7	1
1	0	2	41	1	0	1	1	4	1
1	0	2	25	0	0	1	1	7	1
1	0	2	5	0	0	1	1	9	0
1	0	2	25	0	0	1	1	2	0
1	0	2	25	0	0	1	1	2	0
1	0	2	26	0	0	1	1	8	0
1	0	2	26	0	0	1	1	8	1
1	0	2	27	0	0	1	1	6	0
1	0	2	28	0	0	1	1	5	0
1	0	2	28	0	0	1	1	4	0
1	0	2	37	0	0	1	1	6	1
1	0	2	39	0	0	1	1	6	1
1	0	2	45	0	0	1	1	3	1
1	0	2	46	0	0	1	1	3	1
1	0	2	48	0	0	1	1	10	1
1	0	3	30	0	0	1	1	11	0
1	0	4	34	0	0	1	1	11	1
1	0	4	40	0	0	1	1	5	1
1	0	1	50	0	0	1	2	10	1
1	0	1	52	0	0	1	2	10	1
1	0	2	28.82793047	0	0	1	2	3	1
1	0	2	29	1	0	1	2	3	1
1	0	2	47	1	0	1	2	2	1
1	0	2	25	0	0	1	2	6	1
1	0	2	56	0	0	1	2	6	1
4	0	1	28.82793047	0	0	1	3	0	1
4	0	2	38	0	0	1	3	0	1
1	0	1	14	0	0	2	1	6	1
1	0	1	15	0	0	2	1	6	1
1	0	1	15	0	0	2	1	6	1
